proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,reconstruction_error,is_anomaly,severity,threshold,attack_type
sun-nd,-,INT,1,0,60,0,0.0,0,0,0.123397,1,MEDIUM,0.05,Fuzzers
udp,-,CON,4,4,520,304,193.873586,31,29,0.029852,0,NORMAL,0.05,Normal
udp,dns,INT,2,0,114,0,200000.0051,254,0,0.233359,1,CRITICAL,0.05,Generic
udp,dns,CON,2,2,146,178,2822.201463,31,29,0.019175,0,NORMAL,0.05,Normal
unas,-,INT,2,0,200,0,111111.1072,254,0,0.150974,1,HIGH,0.05,Exploits
rdp,-,INT,2,0,200,0,200000.0051,254,0,0.073947,1,LOW,0.05,Exploits
udp,dns,INT,2,0,114,0,111111.1072,254,0,0.142012,1,HIGH,0.05,Generic
gmtp,-,INT,2,0,200,0,142857.1409,254,0,0.270708,1,CRITICAL,0.05,DoS
tcp,-,FIN,10,8,590,354,23.62417,254,252,0.275588,1,CRITICAL,0.05,Fuzzers
udp,dns,CON,2,2,146,178,3045.685126,31,29,0.023996,0,NORMAL,0.05,Normal
udp,dns,INT,2,0,114,0,333333.3215,254,0,0.19119,1,HIGH,0.05,Generic
tcp,-,FIN,18,18,3936,2456,5634.256456,31,29,0.018372,0,NORMAL,0.05,Normal
udp,dns,INT,2,0,114,0,333333.3215,254,0,0.138373,1,HIGH,0.05,Generic
udp,dns,INT,2,0,114,0,333333.3215,254,0,0.206823,1,CRITICAL,0.05,Generic
udp,dns,INT,2,0,114,0,200000.0051,254,0,0.157028,1,HIGH,0.05,Generic
unas,-,INT,2,0,200,0,1000000.003,254,0,0.0929,1,MEDIUM,0.05,DoS
ifmp,-,INT,2,0,200,0,142857.1409,254,0,0.129958,1,HIGH,0.05,Analysis
udp,dns,INT,2,0,114,0,250000.0006,254,0,0.090361,1,MEDIUM,0.05,Generic
tcp,http,FIN,12,6,3504,268,20.455631,254,252,0.272373,1,CRITICAL,0.05,Exploits
tcp,-,FIN,10,6,534,268,15.760176,254,252,0.01119,0,NORMAL,0.05,Normal
tcp,-,FIN,10,8,564,354,23.610455,254,252,0.097528,1,MEDIUM,0.05,Reconnaissance
udp,dns,INT,2,0,114,0,125000.0003,254,0,0.247414,1,CRITICAL,0.05,Generic
tcp,-,FIN,10,8,564,354,24.849624,254,252,0.160787,1,HIGH,0.05,Reconnaissance
mobile,-,INT,2,0,200,0,111111.1072,254,0,0.208402,1,CRITICAL,0.05,DoS
udp,dns,INT,2,0,114,0,111111.1072,254,0,0.203845,1,CRITICAL,0.05,Generic
tcp,-,FIN,20,22,4240,2664,262.259013,31,29,0.007837,0,NORMAL,0.05,Normal
udp,-,CON,4,4,528,304,3895.381307,31,29,0.021025,0,NORMAL,0.05,Normal
tcp,-,FIN,10,8,840,452,5.783456,254,252,0.058055,1,LOW,0.05,Exploits
udp,dns,INT,2,0,114,0,333333.3215,254,0,0.216808,1,CRITICAL,0.05,Generic
tcp,-,FIN,10,8,1376,354,16.95676,254,252,0.072943,1,LOW,0.05,Exploits
udp,dns,INT,2,0,114,0,142857.1409,254,0,0.197052,1,HIGH,0.05,Generic
udp,-,INT,2,0,168,0,40000.00101,254,0,0.03751,0,NORMAL,0.05,Normal
udp,dns,INT,2,0,114,0,111111.1072,254,0,0.104909,1,MEDIUM,0.05,Generic
tcp,smtp,FIN,52,42,37268,3380,175.874886,31,29,0.024786,0,NORMAL,0.05,Normal
unas,-,INT,2,0,200,0,111111.1072,254,0,0.273739,1,CRITICAL,0.05,Exploits
tcp,-,FIN,10,6,510,268,60.166299,254,252,0.045804,0,NORMAL,0.05,Normal
udp,dns,INT,2,0,114,0,83333.33039,254,0,0.186145,1,HIGH,0.05,Generic
udp,dns,INT,2,0,114,0,111111.1072,254,0,0.142898,1,HIGH,0.05,Generic
udp,-,INT,2,0,168,0,125000.0003,254,0,0.200098,1,CRITICAL,0.05,Reconnaissance
tcp,-,FIN,10,8,724,354,42.496387,254,252,0.124203,1,MEDIUM,0.05,Shellcode
udp,-,INT,2,0,1422,0,100000.0025,254,0,0.02087,0,NORMAL,0.05,Normal
unas,-,INT,2,0,200,0,250000.0006,254,0,0.116175,1,MEDIUM,0.05,Exploits
tcp,-,FIN,14,8,5644,812,20.325773,254,252,0.261079,1,CRITICAL,0.05,Exploits
tcp,-,FIN,10,6,578,268,51.628356,254,252,0.181249,1,HIGH,0.05,Fuzzers
prm,-,INT,2,0,200,0,111111.1072,254,0,0.123054,1,MEDIUM,0.05,Exploits
udp,dns,INT,2,0,114,0,111111.1072,254,0,0.201544,1,CRITICAL,0.05,Generic
tcp,-,FIN,12,8,1162,742,23.162285,254,252,0.253398,1,CRITICAL,0.05,Fuzzers
tcp,smtp,FIN,54,42,37938,3380,2516.289716,31,29,0.024904,0,NORMAL,0.05,Normal
unas,-,INT,2,0,200,0,333333.3215,254,0,0.265267,1,CRITICAL,0.05,DoS
swipe,-,INT,2,0,200,0,100000.0025,254,0,0.273184,1,CRITICAL,0.05,Exploits
tcp,http,FIN,14,18,1684,10168,30.672358,31,29,0.04015,0,NORMAL,0.05,Normal
unas,-,INT,2,0,200,0,166666.6608,254,0,0.118521,1,MEDIUM,0.05,Exploits
tcp,-,FIN,10,6,2386,268,21.440824,254,252,0.246822,1,CRITICAL,0.05,DoS
mobile,-,INT,1,0,60,0,0.0,0,0,0.156218,1,HIGH,0.05,DoS
udp,-,INT,2,0,1964,0,250000.0006,254,0,0.203187,1,CRITICAL,0.05,Fuzzers
tcp,http,FIN,60,14,68199,612,100.479828,254,252,0.105489,1,MEDIUM,0.05,Fuzzers
tcp,-,FIN,72,74,4238,63516,1081.984607,31,29,0.01991,0,NORMAL,0.05,Normal
tcp,-,FIN,10,8,546,354,14.299894,254,252,0.20737,1,CRITICAL,0.05,Fuzzers
udp,dns,CON,2,2,146,178,2790.69758,31,29,0.03697,0,NORMAL,0.05,Normal
tcp,-,FIN,10,6,2044,268,77.587142,254,252,0.19615,1,HIGH,0.05,DoS
tcp,-,FIN,28,30,4456,3080,163.808161,31,29,0.033971,0,NORMAL,0.05,Normal
udp,dns,INT,2,0,114,0,1000000.003,254,0,0.084022,1,MEDIUM,0.05,Generic
tcp,-,FIN,10,6,534,268,32.575836,254,252,0.021869,0,NORMAL,0.05,Normal
udp,dns,INT,2,0,114,0,125000.0003,254,0,0.211161,1,CRITICAL,0.05,Generic
udp,dns,INT,2,0,114,0,125000.0003,254,0,0.242661,1,CRITICAL,0.05,Generic
tcp,-,FIN,10,10,468,2530,48.600311,62,252,0.131779,1,HIGH,0.05,Exploits
udp,dns,INT,2,0,114,0,333333.3215,254,0,0.24666,1,CRITICAL,0.05,Generic
udp,-,CON,4,4,528,304,10.354141,31,29,0.032049,0,NORMAL,0.05,Normal
tcp,http,FIN,14,18,1684,10168,30.180039,31,29,0.046344,0,NORMAL,0.05,Normal
tcp,-,FIN,60,14,68185,612,52.947275,254,252,0.121461,1,MEDIUM,0.05,Fuzzers
udp,-,INT,2,0,168,0,111111.1072,254,0,0.131579,1,HIGH,0.05,Reconnaissance
unas,-,INT,2,0,200,0,111111.1072,254,0,0.163049,1,HIGH,0.05,DoS
udp,dns,INT,2,0,114,0,111111.1072,254,0,0.158829,1,HIGH,0.05,Generic
udp,dns,INT,2,0,114,0,333333.3215,254,0,0.169498,1,HIGH,0.05,Generic
tcp,http,FIN,14,18,1684,10168,30.542834,31,29,0.032427,0,NORMAL,0.05,Normal
udp,dns,INT,2,0,114,0,250000.0006,254,0,0.073868,1,LOW,0.05,Generic
tcp,-,FIN,12,8,1366,742,15.806239,254,252,0.209506,1,CRITICAL,0.05,Fuzzers
tcp,-,FIN,14,10,774,556,25.249892,254,252,0.035892,0,NORMAL,0.05,Normal
tcp,http,FIN,10,6,956,268,79.579817,254,252,0.090138,1,MEDIUM,0.05,Reconnaissance
tcp,-,FIN,10,6,2516,268,34.988117,254,252,0.041124,0,NORMAL,0.05,Normal
tcp,-,FIN,10,6,2550,268,28.489378,254,252,0.143951,1,HIGH,0.05,Fuzzers
tcp,smtp,FIN,114,32,126952,2174,72.148529,62,252,0.229828,1,CRITICAL,0.05,Exploits
rsvp,-,INT,2,0,200,0,111111.1072,254,0,0.157617,1,HIGH,0.05,DoS
udp,dns,INT,2,0,114,0,125000.0003,254,0,0.128144,1,HIGH,0.05,Generic
tcp,smtp,FIN,30,22,18516,1920,29.411935,62,252,0.258205,1,CRITICAL,0.05,Exploits
udp,dns,CON,2,2,146,178,2876.318242,31,29,0.042651,0,NORMAL,0.05,Normal
tcp,http,FIN,8,10,1052,824,4169.732567,31,29,0.022474,0,NORMAL,0.05,Normal
udp,dns,INT,2,0,114,0,200000.0051,254,0,0.272119,1,CRITICAL,0.05,Generic
tcp,smtp,FIN,52,42,37152,3380,190.261093,31,29,0.023891,0,NORMAL,0.05,Normal
unas,-,INT,2,0,200,0,111111.1072,254,0,0.083285,1,MEDIUM,0.05,Exploits
tcp,ftp-data,FIN,8,12,364,9136,17.289451,62,252,0.216673,1,CRITICAL,0.05,Exploits
tcp,http,FIN,10,14,832,9416,58.238023,62,252,0.217233,1,CRITICAL,0.05,Exploits
tcp,-,FIN,18,18,1002,3930,13.453048,62,252,0.257437,1,CRITICAL,0.05,Exploits
udp,-,CON,4,4,568,320,1114.827187,31,29,0.01689,0,NORMAL,0.05,Normal
tcp,-,FIN,48,50,2974,30506,6104.46807,31,29,0.034587,0,NORMAL,0.05,Normal
udp,dns,INT,2,0,114,0,125000.0003,254,0,0.167464,1,HIGH,0.05,Generic
tcp,-,FIN,48,50,2958,32642,2354.140274,31,29,0.046149,0,NORMAL,0.05,Normal
tcp,-,FIN,50,52,3062,32746,2428.059643,31,29,0.019278,0,NORMAL,0.05,Normal
udp,dns,INT,2,0,114,0,111111.1072,254,0,0.079541,1,MEDIUM,0.05,Generic
udp,dns,INT,2,0,114,0,200000.0051,254,0,0.110273,1,MEDIUM,0.05,Generic
tcp,-,FIN,22,24,1920,4312,1311.341664,31,29,0.020077,0,NORMAL,0.05,Normal
tcp,-,CON,6,2,978,86,9.938439,62,252,0.020929,0,NORMAL,0.05,Normal
udp,dns,INT,2,0,114,0,125000.0003,254,0,0.167921,1,HIGH,0.05,Generic
udp,dns,INT,4,0,320,0,0.600016,63,0,0.047594,0,NORMAL,0.05,Normal
tcp,smtp,FIN,20,20,3404,1864,24.034062,62,252,0.167119,1,HIGH,0.05,Exploits
udp,dns,INT,2,0,114,0,166666.6608,254,0,0.23334,1,CRITICAL,0.05,Generic
tcp,-,FIN,42,42,2646,23508,2811.843546,31,29,0.041027,0,NORMAL,0.05,Normal
tcp,-,FIN,12,8,1878,736,26.480393,254,252,0.214728,1,CRITICAL,0.05,Fuzzers
udp,dns,INT,2,0,114,0,333333.3215,254,0,0.175011,1,HIGH,0.05,Generic
udp,dns,INT,2,0,114,0,111111.1072,254,0,0.124833,1,MEDIUM,0.05,Generic
tcp,-,FIN,12,8,1062,764,30.907477,254,252,0.205988,1,CRITICAL,0.05,Fuzzers
sps,-,INT,2,0,200,0,250000.0006,254,0,0.196762,1,HIGH,0.05,DoS
tcp,-,FIN,10,6,534,268,16.72129,254,252,0.008173,0,NORMAL,0.05,Normal
tcp,pop3,FIN,20,20,944,2570,17.475867,62,252,0.248733,1,CRITICAL,0.05,Exploits
tcp,-,REQ,2,0,90,0,125000.0003,254,0,0.037027,0,NORMAL,0.05,Normal
tcp,-,FIN,16,6,9712,268,86.041596,254,252,0.098913,1,MEDIUM,0.05,Exploits
tcp,ftp-data,FIN,10,22,450,22662,27.547843,62,252,0.109464,1,MEDIUM,0.05,Exploits
tcp,-,FIN,226,438,13038,548216,160.227942,31,29,0.023613,0,NORMAL,0.05,Normal
tcp,-,FIN,22,50,1204,48532,40.959183,62,252,0.184093,1,HIGH,0.05,Exploits
unas,-,INT,2,0,200,0,125000.0003,254,0,0.194884,1,HIGH,0.05,Backdoor
tcp,-,FIN,10,6,534,268,17.730329,254,252,0.031738,0,NORMAL,0.05,Normal
tcp,http,FIN,10,6,722,268,69.184044,254,252,0.161163,1,HIGH,0.05,Exploits
unas,-,INT,2,0,200,0,142857.1409,254,0,0.140264,1,HIGH,0.05,Exploits
rdp,-,INT,2,0,200,0,500000.0013,254,0,0.083792,1,MEDIUM,0.05,Exploits
tcp,-,CON,6,2,978,86,7.001442,62,252,0.044278,0,NORMAL,0.05,Normal
ipx-n-ip,-,INT,2,0,200,0,100000.0025,254,0,0.1432,1,HIGH,0.05,Backdoor
fc,-,INT,2,0,200,0,111111.1072,254,0,0.254994,1,CRITICAL,0.05,DoS
unas,-,INT,2,0,200,0,100000.0025,254,0,0.245932,1,CRITICAL,0.05,DoS
udp,dns,INT,2,0,114,0,166666.6608,254,0,0.201734,1,CRITICAL,0.05,Generic
udp,-,INT,2,0,104,0,333333.3215,254,0,0.189588,1,HIGH,0.05,Fuzzers
tcp,http,FIN,12,10,1300,2092,64.550636,62,252,0.114618,1,MEDIUM,0.05,Exploits
tcp,-,FIN,10,8,724,354,29.696033,254,252,0.071532,1,LOW,0.05,Shellcode
tcp,-,FIN,16,18,1540,1644,1815.081688,31,29,0.018248,0,NORMAL,0.05,Normal
tcp,smtp,FIN,1708,278,2261058,12232,86.750343,62,252,0.069746,1,LOW,0.05,Exploits
tcp,-,FIN,10,8,564,354,14.259089,254,252,0.075121,1,MEDIUM,0.05,Reconnaissance
tcp,-,FIN,78,80,4550,72810,1785.165994,31,29,0.037354,0,NORMAL,0.05,Normal
unas,-,INT,2,0,200,0,200000.0051,254,0,0.147194,1,HIGH,0.05,Exploits
tcp,-,FIN,10,8,564,354,27.074678,254,252,0.210123,1,CRITICAL,0.05,Reconnaissance
udp,dns,CON,2,2,146,178,2941.176566,31,29,0.01405,0,NORMAL,0.05,Normal
udp,dns,CON,2,2,146,178,3112.033175,31,29,0.044827,0,NORMAL,0.05,Normal
udp,dns,INT,2,0,114,0,333333.3215,254,0,0.152675,1,HIGH,0.05,Generic
tcp,ftp-data,FIN,8,12,424,8824,25.891979,31,29,0.04401,0,NORMAL,0.05,Normal
mobile,-,INT,1,0,60,0,0.0,0,0,0.153367,1,HIGH,0.05,DoS
udp,-,INT,2,0,168,0,41666.66519,254,0,0.034434,0,NORMAL,0.05,Normal
arp,-,INT,1,0,46,0,0.0,0,0,0.008136,0,NORMAL,0.05,Normal
udp,-,INT,2,0,486,0,200000.0051,254,0,0.116399,1,MEDIUM,0.05,Fuzzers
tcp,-,FIN,48,50,2958,33044,3654.30995,31,29,0.040944,0,NORMAL,0.05,Normal
tcp,ftp,FIN,52,54,2934,3740,3488.37219,31,29,0.010844,0,NORMAL,0.05,Normal
ipip,-,INT,2,0,200,0,111111.1072,254,0,0.15034,1,HIGH,0.05,Backdoor
tcp,-,FIN,12,12,1064,2260,5758.637749,31,29,0.046463,0,NORMAL,0.05,Normal
tcp,http,FIN,10,6,1008,268,17.273484,254,252,0.228974,1,CRITICAL,0.05,Exploits
udp,dns,INT,2,0,114,0,200000.0051,254,0,0.086853,1,MEDIUM,0.05,Generic
udp,dns,INT,2,0,114,0,111111.1072,254,0,0.249387,1,CRITICAL,0.05,Generic
udp,-,INT,2,0,1064,0,100000.0025,254,0,0.036424,0,NORMAL,0.05,Normal
udp,-,INT,2,0,340,0,166666.6608,254,0,0.255627,1,CRITICAL,0.05,Shellcode
udp,dns,CON,2,2,146,178,2747.252623,31,29,0.024905,0,NORMAL,0.05,Normal
tcp,smtp,FIN,20,20,3610,1740,22.43481,62,252,0.202048,1,CRITICAL,0.05,Exploits
udp,dns,CON,2,2,146,178,2988.047923,31,29,0.03563,0,NORMAL,0.05,Normal
arp,-,INT,1,0,46,0,0.0,0,0,0.009399,0,NORMAL,0.05,Normal
tcp,-,FIN,30,14,23606,728,49.306215,254,252,0.020478,0,NORMAL,0.05,Normal
tcp,-,FIN,52,54,3182,39076,2520.947917,31,29,0.007188,0,NORMAL,0.05,Normal
tcp,-,FIN,22,14,1470,1728,7329.843232,31,29,0.045148,0,NORMAL,0.05,Normal
tcp,-,FIN,12,8,3050,708,30.486583,254,252,0.12407,1,MEDIUM,0.05,Fuzzers
udp,-,CON,4,4,520,304,40.421304,31,29,0.017198,0,NORMAL,0.05,Normal
unas,-,INT,2,0,200,0,166666.6608,254,0,0.057389,1,LOW,0.05,DoS
ospf,-,INT,28,0,12832,0,0.609474,254,0,0.188852,1,HIGH,0.05,Backdoor
tcp,http,FIN,10,8,804,1290,44.55709,62,252,0.272957,1,CRITICAL,0.05,Exploits
tcp,http,FIN,14,18,1684,10168,26.137728,31,29,0.044944,0,NORMAL,0.05,Normal
udp,-,CON,4,4,568,320,1105.670508,31,29,0.018372,0,NORMAL,0.05,Normal
tcp,-,FIN,12,8,1138,770,20.279926,254,252,0.250312,1,CRITICAL,0.05,Fuzzers
tcp,-,FIN,10,8,534,354,19.071145,254,252,0.031952,0,NORMAL,0.05,Normal
tcp,ftp,FIN,12,12,634,682,18.611366,254,252,0.072693,1,LOW,0.05,Fuzzers
tcp,http,FIN,248,1622,10664,2166417,110.780974,62,252,0.190226,1,HIGH,0.05,Generic
udp,dns,INT,2,0,114,0,333333.3215,254,0,0.093617,1,MEDIUM,0.05,Generic
udp,dns,INT,2,0,114,0,142857.1409,254,0,0.276263,1,CRITICAL,0.05,Generic
tcp,http,FIN,8,10,1040,824,4364.569862,31,29,0.016166,0,NORMAL,0.05,Normal
tcp,ftp,FIN,22,22,1198,1646,28.043996,62,252,0.189761,1,HIGH,0.05,Exploits
ipv6-no,-,INT,2,0,200,0,166666.6608,254,0,0.279294,1,CRITICAL,0.05,Reconnaissance
tcp,ftp-data,FIN,6,8,320,1946,280.668433,31,29,0.026604,0,NORMAL,0.05,Normal
tcp,-,FIN,86,86,4966,75600,2920.929896,31,29,0.026209,0,NORMAL,0.05,Normal
udp,dns,INT,2,0,114,0,125000.0003,254,0,0.061983,1,LOW,0.05,Generic
crtp,-,INT,2,0,200,0,333333.3215,254,0,0.142331,1,HIGH,0.05,Exploits
unas,-,INT,2,0,200,0,333333.3215,254,0,0.162588,1,HIGH,0.05,Exploits
tcp,-,FIN,60,62,3598,48710,4862.171326,31,29,0.026676,0,NORMAL,0.05,Normal
tcp,-,FIN,16,18,1540,1644,2418.291063,31,29,0.037374,0,NORMAL,0.05,Normal
tcp,http,FIN,10,8,916,1128,31.337389,62,252,0.180066,1,HIGH,0.05,Exploits
udp,dns,INT,2,0,114,0,166666.6608,254,0,0.136794,1,HIGH,0.05,Generic
tcp,http,FIN,58,14,68115,612,58.308607,254,252,0.130176,1,HIGH,0.05,Fuzzers
tcp,smtp,FIN,72,26,72026,2088,83.45967,62,252,0.091963,1,MEDIUM,0.05,Exploits
tcp,-,FIN,48,50,2958,33044,2022.012793,31,29,0.01195,0,NORMAL,0.05,Normal
tcp,http,FIN,10,6,750,268,74.04665,254,252,0.061425,1,LOW,0.05,Reconnaissance
tcp,http,FIN,10,8,852,1304,13.316309,62,252,0.013878,0,NORMAL,0.05,Normal
udp,dns,INT,2,0,114,0,200000.0051,254,0,0.259144,1,CRITICAL,0.05,Generic
tcp,-,FIN,16,18,1540,1644,18.78627,31,29,0.025001,0,NORMAL,0.05,Normal
udp,-,INT,2,0,1546,0,100000.0025,254,0,0.126431,1,HIGH,0.05,Fuzzers
udp,-,INT,2,0,168,0,111111.1072,254,0,0.12401,1,MEDIUM,0.05,Reconnaissance
st2,-,INT,4,0,360,0,2.974444,254,0,0.230686,1,CRITICAL,0.05,DoS
udp,dns,INT,2,0,114,0,333333.3215,254,0,0.257095,1,CRITICAL,0.05,Generic
tcp,-,FIN,16,10,1562,556,35.656318,254,252,0.124624,1,MEDIUM,0.05,Fuzzers
tcp,smtp,FIN,38,22,30988,1800,33.125447,254,252,0.239037,1,CRITICAL,0.05,Generic
udp,dns,INT,2,0,114,0,333333.3215,254,0,0.145467,1,HIGH,0.05,Generic
unas,-,INT,2,0,200,0,111111.1072,254,0,0.072303,1,LOW,0.05,Exploits
tcp,smtp,FIN,44,24,31359,2050,18.506191,62,252,0.178787,1,HIGH,0.05,Exploits
ospf,-,REQ,54,0,14688,0,0.892367,254,0,0.18458,1,HIGH,0.05,Exploits
tcp,-,FIN,22,24,1920,4312,7387.949377,31,29,0.037693,0,NORMAL,0.05,Normal
tcp,-,FIN,26,44,1352,37812,16.17128,62,252,0.235884,1,CRITICAL,0.05,Exploits
udp,dns,INT,2,0,114,0,166666.6608,254,0,0.215659,1,CRITICAL,0.05,Generic
unas,-,INT,2,0,200,0,111111.1072,254,0,0.06858,1,LOW,0.05,Exploits
tcp,-,FIN,18,20,4016,2560,479.032617,31,29,0.029627,0,NORMAL,0.05,Normal
tcp,-,REQ,8,0,360,0,0.727316,254,0,0.034541,0,NORMAL,0.05,Normal
tcp,-,FIN,10,6,534,268,28.420824,254,252,0.006278,0,NORMAL,0.05,Normal
unas,-,INT,2,0,200,0,200000.0051,254,0,0.110951,1,MEDIUM,0.05,Exploits
unas,-,INT,2,0,200,0,166666.6608,254,0,0.129419,1,HIGH,0.05,Exploits
tcp,http,FIN,10,10,808,1136,24.107912,62,252,0.020744,0,NORMAL,0.05,Normal
tcp,ftp,FIN,24,24,1272,1726,6.57617,62,252,0.07726,1,MEDIUM,0.05,Exploits
tcp,http,FIN,12,12,910,5826,17.204957,62,252,0.103467,1,MEDIUM,0.05,Exploits
udp,-,INT,2,0,104,0,111111.1072,254,0,0.042178,0,NORMAL,0.05,Normal
udp,dns,INT,2,0,114,0,166666.6608,254,0,0.067921,1,LOW,0.05,Generic
tcp,-,FIN,22,24,2054,2478,270.952132,31,29,0.032871,0,NORMAL,0.05,Normal
